,previous never,reported smokers,pnever_ecig,pex_ecig,psmoke_ecig,NEVER,CIG,ECIG,DUAL,EX,TOTAL
2000,49.6,27.0,,,,,,,,,
2001,49.5,26.9,,,,,,,,,
2002,50.2,25.9,,,,,,,,,
2003,50.5,26.0,,,,,,,,,
2004,51.8,24.6,,,,,,,,,
2005,52.5,23.9,,,,,,,,,
2006,54.3,22.0,,,,,,,,,
2007,54.8,20.9,,,,,,,,,
2008,53.4,21.1,,,,,,,,,
2009,53.7,21.0,,,,,,,,,
2010,54.9,20.3,,,,,,,,,
2011,55.8,19.8,,,,,,,,,
2012,59.0,20.4,,,,,,,,,
2013,58.1,19.2,,,,,,,,,
2014,58.6,18.8,0.2,6.8,10.6,58.4828,16.8072,1.654,1.9928,21.0632,100
2015,58.8,17.8,0.2,7.7,14.4,58.6824,15.2368,1.9194,2.5632,21.5982,100
2016,59.2,16.1,0.6,12.1,13.7,58.8448,13.8943,3.3439,2.2057,21.7113,100
